GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8	g9
ENSMUSG00000000001	Gnai3	54,54,54,54,54	26,26,26,26,26	97,97,97,97,97	96,96,96,96,96	143,143,143,143,143	145,145,145,145,145	166,166,166,166,166	58,58,58,58,58	265,265,265,265,265
ENSMUSG00000000003	Pbsn	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000000028	Cdc45	2,2,2,2,2	2,2,2,2,2	2,2,2,2,2	1,1,1,1,1	3,3,3,3,3	6,6,6,6,6	21,21,21,21,21	28,28,28,28,28	68,68,68,68,68
ENSMUSG00000000031	H19	0.8,0.8,0.8,0.8,0.8	42,42,42,42,42	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0.6,0.6,0.6,0.6,0.6	680,680,680,680,680	0.6,0.6,0.6,0.6,0.6	2,2,2,2,2	12,12,12,12,12
ENSMUSG00000000037	Scml2	1,1,1,1,1	0.4,0.4,0.4,0.4,0.4	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	2,2,2,2,2	0.8,0.8,0.8,0.8,0.8	17,17,17,17,17	1,1,1,1,1
ENSMUSG00000000049	Apoh	0.6,0.6,0.6,0.6,0.6	0.3,0.3,0.3,0.3,0.3	9,9,9,9,9	3188,3188,3188,3188,3188	0.2,0.2,0.2,0.2,0.2	2,2,2,2,2	0,0,0,0,0	79,79,79,79,79	0.9,0.9,0.9,0.9,0.9
ENSMUSG00000000056	Narf	57,57,57,57,57	71,71,71,71,71	29,29,29,29,29	29,29,29,29,29	15,15,15,15,15	47,47,47,47,47	37,37,37,37,37	4,4,4,4,4	72,72,72,72,72
ENSMUSG00000000058	Cav2	42,42,42,42,42	55,55,55,55,55	80,80,80,80,80	5,5,5,5,5	490,490,490,490,490	54,54,54,54,54	15,15,15,15,15	3,3,3,3,3	13,13,13,13,13
ENSMUSG00000000078	Klf6	50,50,50,50,50	35,35,35,35,35	33,33,33,33,33	4,4,4,4,4	169,169,169,169,169	96,96,96,96,96	87,87,87,87,87	9,9,9,9,9	74,74,74,74,74
ENSMUSG00000000085	Scmh1	28,28,28,28,28	19,19,19,19,19	6,6,6,6,6	4,4,4,4,4	22,22,22,22,22	18,18,18,18,18	12,12,12,12,12	49,49,49,49,49	26,26,26,26,26
ENSMUSG00000000088	Cox5a	129,129,129,129,129	442,442,442,442,442	329,329,329,329,329	124,124,124,124,124	50,50,50,50,50	248,248,248,248,248	99,99,99,99,99	105,105,105,105,105	211,211,211,211,211
ENSMUSG00000000093	Tbx2	3,3,3,3,3	4,4,4,4,4	26,26,26,26,26	2,2,2,2,2	174,174,174,174,174	4,4,4,4,4	3,3,3,3,3	1,1,1,1,1	2,2,2,2,2
ENSMUSG00000000094	Tbx4	0.3,0.3,0.3,0.3,0.3	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	83,83,83,83,83	2,2,2,2,2	0.1,0.1,0.1,0.1,0.1	0.9,0.9,0.9,0.9,0.9	0,0,0,0,0
ENSMUSG00000000103	Zfy2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	8,8,8,8,8	0,0,0,0,0
ENSMUSG00000000120	Ngfr	8,8,8,8,8	1,1,1,1,1	1,1,1,1,1	6,6,6,6,6	1,1,1,1,1	13,13,13,13,13	20,20,20,20,20	17,17,17,17,17	3,3,3,3,3
ENSMUSG00000000125	Wnt3	8,8,8,8,8	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	44,44,44,44,44	0.2,0.2,0.2,0.2,0.2	48,48,48,48,48	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000126	Wnt9a	11,11,11,11,11	6,6,6,6,6	0.9,0.9,0.9,0.9,0.9	0.5,0.5,0.5,0.5,0.5	13,13,13,13,13	9,9,9,9,9	0.7,0.7,0.7,0.7,0.7	0.7,0.7,0.7,0.7,0.7	3,3,3,3,3
ENSMUSG00000000127	Fer	20,20,20,20,20	13,13,13,13,13	5,5,5,5,5	6,6,6,6,6	18,18,18,18,18	17,17,17,17,17	4,4,4,4,4	27,27,27,27,27	4,4,4,4,4
ENSMUSG00000000131	Xpo6	29,29,29,29,29	4,4,4,4,4	4,4,4,4,4	7,7,7,7,7	12,12,12,12,12	10,10,10,10,10	31,31,31,31,31	59,59,59,59,59	31,31,31,31,31
ENSMUSG00000000134	Tfe3	18,18,18,18,18	5,5,5,5,5	5,5,5,5,5	9,9,9,9,9	18,18,18,18,18	18,18,18,18,18	20,20,20,20,20	8,8,8,8,8	14,14,14,14,14
ENSMUSG00000000142	Axin2	21,21,21,21,21	3,3,3,3,3	0.7,0.7,0.7,0.7,0.7	5,5,5,5,5	23,23,23,23,23	23,23,23,23,23	9,9,9,9,9	2,2,2,2,2	15,15,15,15,15
ENSMUSG00000000148	Brat1	17,17,17,17,17	4,4,4,4,4	4,4,4,4,4	6,6,6,6,6	13,13,13,13,13	9,9,9,9,9	22,22,22,22,22	11,11,11,11,11	23,23,23,23,23
ENSMUSG00000000149	Gna12	120,120,120,120,120	113,113,113,113,113	66,66,66,66,66	105,105,105,105,105	123,123,123,123,123	57,57,57,57,57	88,88,88,88,88	42,42,42,42,42	72,72,72,72,72
ENSMUSG00000000154	Slc22a18	0.6,0.6,0.6,0.6,0.6	0.9,0.9,0.9,0.9,0.9	737,737,737,737,737	180,180,180,180,180	20,20,20,20,20	11,11,11,11,11	3,3,3,3,3	25,25,25,25,25	5,5,5,5,5
ENSMUSG00000000157	Itgb2l	0.4,0.4,0.4,0.4,0.4	0,0,0,0,0	0.9,0.9,0.9,0.9,0.9	0.2,0.2,0.2,0.2,0.2	1,1,1,1,1	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0.4,0.4,0.4,0.4,0.4
ENSMUSG00000000159	Igsf5	0.4,0.4,0.4,0.4,0.4	0.1,0.1,0.1,0.1,0.1	54,54,54,54,54	12,12,12,12,12	14,14,14,14,14	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.4,0.4,0.4,0.4,0.4	0,0,0,0,0
ENSMUSG00000000167	Pih1d2	3,3,3,3,3	0.2,0.2,0.2,0.2,0.2	4,4,4,4,4	1,1,1,1,1	6,6,6,6,6	1,1,1,1,1	0.8,0.8,0.8,0.8,0.8	45,45,45,45,45	1,1,1,1,1
ENSMUSG00000000168	Dlat	102,102,102,102,102	249,249,249,249,249	74,74,74,74,74	28,28,28,28,28	32,32,32,32,32	64,64,64,64,64	30,30,30,30,30	66,66,66,66,66	56,56,56,56,56
ENSMUSG00000000171	Sdhd	220,220,220,220,220	832,832,832,832,832	1597,1597,1597,1597,1597	477,477,477,477,477	168,168,168,168,168	415,415,415,415,415	253,253,253,253,253	127,127,127,127,127	519,519,519,519,519
ENSMUSG00000000182	Fgf23	0.9,0.9,0.9,0.9,0.9	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1
ENSMUSG00000000183	Fgf6	0,0,0,0,0	0.5,0.5,0.5,0.5,0.5	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000000184	Ccnd2	39,39,39,39,39	52,52,52,52,52	5,5,5,5,5	4,4,4,4,4	86,86,86,86,86	41,41,41,41,41	99,99,99,99,99	3,3,3,3,3	49,49,49,49,49
ENSMUSG00000000194	Gpr107	21,21,21,21,21	11,11,11,11,11	10,10,10,10,10	5,5,5,5,5	21,21,21,21,21	23,23,23,23,23	20,20,20,20,20	17,17,17,17,17	21,21,21,21,21
ENSMUSG00000000197	Nalcn	51,51,51,51,51	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0.6,0.6,0.6,0.6,0.6	0.1,0.1,0.1,0.1,0.1
ENSMUSG00000000202	Btbd17	24,24,24,24,24	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1
ENSMUSG00000000204	Slfn4	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	2,2,2,2,2	2,2,2,2,2	3,3,3,3,3	0.2,0.2,0.2,0.2,0.2	2,2,2,2,2
ENSMUSG00000000214	Th	22,22,22,22,22	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	14,14,14,14,14	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000215	Ins2	0.5,0.5,0.5,0.5,0.5	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	0.8,0.8,0.8,0.8,0.8
ENSMUSG00000000216	Scnn1g	0.5,0.5,0.5,0.5,0.5	0.1,0.1,0.1,0.1,0.1	36,36,36,36,36	0,0,0,0,0	191,191,191,191,191	4,4,4,4,4	0,0,0,0,0	0,0,0,0,0	4,4,4,4,4
ENSMUSG00000000223	Drp2	52,52,52,52,52	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2	7,7,7,7,7	0.2,0.2,0.2,0.2,0.2	3,3,3,3,3	0.6,0.6,0.6,0.6,0.6
ENSMUSG00000000244	Tspan32	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0.4,0.4,0.4,0.4,0.4	0.2,0.2,0.2,0.2,0.2	3,3,3,3,3	3,3,3,3,3	54,54,54,54,54	0,0,0,0,0	32,32,32,32,32
ENSMUSG00000000247	Lhx2	32,32,32,32,32	0,0,0,0,0	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	24,24,24,24,24	0.2,0.2,0.2,0.2,0.2	10,10,10,10,10	1,1,1,1,1
ENSMUSG00000000248	Clec2g	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	4,4,4,4,4	2,2,2,2,2	0,0,0,0,0	1,1,1,1,1
ENSMUSG00000000253	Gmpr	56,56,56,56,56	105,105,105,105,105	110,110,110,110,110	0.9,0.9,0.9,0.9,0.9	15,15,15,15,15	108,108,108,108,108	7,7,7,7,7	8,8,8,8,8	92,92,92,92,92
ENSMUSG00000000263	Glra1	34,34,34,34,34	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000000266	Mid2	25,25,25,25,25	10,10,10,10,10	9,9,9,9,9	2,2,2,2,2	44,44,44,44,44	9,9,9,9,9	4,4,4,4,4	2,2,2,2,2	4,4,4,4,4
ENSMUSG00000000275	Trim25	7,7,7,7,7	20,20,20,20,20	35,35,35,35,35	55,55,55,55,55	74,74,74,74,74	29,29,29,29,29	85,85,85,85,85	6,6,6,6,6	103,103,103,103,103
ENSMUSG00000000276	Dgke	66,66,66,66,66	7,7,7,7,7	2,2,2,2,2	0.7,0.7,0.7,0.7,0.7	12,12,12,12,12	4,4,4,4,4	10,10,10,10,10	7,7,7,7,7	96,96,96,96,96
ENSMUSG00000000278	Scpep1	31,31,31,31,31	19,19,19,19,19	229,229,229,229,229	53,53,53,53,53	96,96,96,96,96	156,156,156,156,156	129,129,129,129,129	44,44,44,44,44	36,36,36,36,36
ENSMUSG00000000282	Mnt	40,40,40,40,40	7,7,7,7,7	5,5,5,5,5	6,6,6,6,6	27,27,27,27,27	23,23,23,23,23	45,45,45,45,45	33,33,33,33,33	36,36,36,36,36
ENSMUSG00000000290	Itgb2	7,7,7,7,7	7,7,7,7,7	4,4,4,4,4	4,4,4,4,4	87,87,87,87,87	31,31,31,31,31	392,392,392,392,392	2,2,2,2,2	358,358,358,358,358
ENSMUSG00000000295	Hddc2	8,8,8,8,8	1,1,1,1,1	7,7,7,7,7	0.8,0.8,0.8,0.8,0.8	4,4,4,4,4	12,12,12,12,12	12,12,12,12,12	2,2,2,2,2	21,21,21,21,21
ENSMUSG00000000296	Tpd52l1	51,51,51,51,51	7,7,7,7,7	48,48,48,48,48	9,9,9,9,9	2,2,2,2,2	33,33,33,33,33	0.4,0.4,0.4,0.4,0.4	33,33,33,33,33	5,5,5,5,5
ENSMUSG00000000301	Pemt	3,3,3,3,3	2,2,2,2,2	3,3,3,3,3	259,259,259,259,259	2,2,2,2,2	4,4,4,4,4	2,2,2,2,2	18,18,18,18,18	6,6,6,6,6
ENSMUSG00000000303	Cdh1	3,3,3,3,3	1,1,1,1,1	88,88,88,88,88	67,67,67,67,67	386,386,386,386,386	212,212,212,212,212	3,3,3,3,3	0.5,0.5,0.5,0.5,0.5	61,61,61,61,61
ENSMUSG00000000305	Cdh4	22,22,22,22,22	1,1,1,1,1	0.4,0.4,0.4,0.4,0.4	0.2,0.2,0.2,0.2,0.2	4,4,4,4,4	11,11,11,11,11	2,2,2,2,2	0.4,0.4,0.4,0.4,0.4	18,18,18,18,18
ENSMUSG00000000308	Ckmt1	307,307,307,307,307	2,2,2,2,2	59,59,59,59,59	0.1,0.1,0.1,0.1,0.1	21,21,21,21,21	164,164,164,164,164	0.3,0.3,0.3,0.3,0.3	0.1,0.1,0.1,0.1,0.1	10,10,10,10,10
ENSMUSG00000000317	Bcl6b	3,3,3,3,3	16,16,16,16,16	4,4,4,4,4	1,1,1,1,1	28,28,28,28,28	5,5,5,5,5	10,10,10,10,10	3,3,3,3,3	1,1,1,1,1
ENSMUSG00000000318	Clec10a	0.8,0.8,0.8,0.8,0.8	2,2,2,2,2	2,2,2,2,2	0.1,0.1,0.1,0.1,0.1	3,3,3,3,3	115,115,115,115,115	9,9,9,9,9	2,2,2,2,2	13,13,13,13,13
ENSMUSG00000000320	Alox12	1,1,1,1,1	3,3,3,3,3	2,2,2,2,2	0.5,0.5,0.5,0.5,0.5	8,8,8,8,8	14,14,14,14,14	36,36,36,36,36	6,6,6,6,6	0.8,0.8,0.8,0.8,0.8
ENSMUSG00000000325		23,23,23,23,23	8,8,8,8,8	15,15,15,15,15	5,5,5,5,5	19,19,19,19,19	27,27,27,27,27	19,19,19,19,19	3,3,3,3,3	16,16,16,16,16
ENSMUSG00000000326	Comt	97,97,97,97,97	120,120,120,120,120	390,390,390,390,390	1294,1294,1294,1294,1294	92,92,92,92,92	113,113,113,113,113	77,77,77,77,77	9,9,9,9,9	89,89,89,89,89
ENSMUSG00000000339	Rtca	51,51,51,51,51	12,12,12,12,12	26,26,26,26,26	6,6,6,6,6	18,18,18,18,18	13,13,13,13,13	26,26,26,26,26	76,76,76,76,76	35,35,35,35,35
ENSMUSG00000000340	Dbt	30,30,30,30,30	68,68,68,68,68	109,109,109,109,109	97,97,97,97,97	24,24,24,24,24	21,21,21,21,21	21,21,21,21,21	8,8,8,8,8	42,42,42,42,42
ENSMUSG00000000346	Dazap2	156,156,156,156,156	155,155,155,155,155	248,248,248,248,248	134,134,134,134,134	349,349,349,349,349	193,193,193,193,193	460,460,460,460,460	108,108,108,108,108	382,382,382,382,382
ENSMUSG00000000355	Mcts1	99,99,99,99,99	26,26,26,26,26	48,48,48,48,48	39,39,39,39,39	36,36,36,36,36	66,66,66,66,66	78,78,78,78,78	5,5,5,5,5	121,121,121,121,121
ENSMUSG00000000359	Rem1	0.9,0.9,0.9,0.9,0.9	5,5,5,5,5	7,7,7,7,7	0.2,0.2,0.2,0.2,0.2	12,12,12,12,12	5,5,5,5,5	13,13,13,13,13	1,1,1,1,1	2,2,2,2,2
ENSMUSG00000000365	Rnf17	1,1,1,1,1	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0.8,0.8,0.8,0.8,0.8	0.7,0.7,0.7,0.7,0.7	126,126,126,126,126	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000374	Trappc10	77,77,77,77,77	27,27,27,27,27	24,24,24,24,24	13,13,13,13,13	33,33,33,33,33	22,22,22,22,22	40,40,40,40,40	18,18,18,18,18	45,45,45,45,45
ENSMUSG00000000378	Ccm2	47,47,47,47,47	13,13,13,13,13	13,13,13,13,13	15,15,15,15,15	32,32,32,32,32	25,25,25,25,25	133,133,133,133,133	11,11,11,11,11	179,179,179,179,179
ENSMUSG00000000381	Wap	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	0.5,0.5,0.5,0.5,0.5	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000384	Tbrg4	38,38,38,38,38	45,45,45,45,45	28,28,28,28,28	33,33,33,33,33	16,16,16,16,16	37,37,37,37,37	54,54,54,54,54	45,45,45,45,45	70,70,70,70,70
ENSMUSG00000000385	Tmprss2	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2	70,70,70,70,70	1,1,1,1,1	46,46,46,46,46	0.8,0.8,0.8,0.8,0.8	0,0,0,0,0	0.4,0.4,0.4,0.4,0.4	2,2,2,2,2
ENSMUSG00000000386	Mx1	0.4,0.4,0.4,0.4,0.4	0.3,0.3,0.3,0.3,0.3	0.3,0.3,0.3,0.3,0.3	0.6,0.6,0.6,0.6,0.6	2,2,2,2,2	3,3,3,3,3	10,10,10,10,10	1,1,1,1,1	6,6,6,6,6
ENSMUSG00000000392	Fap	2,2,2,2,2	2,2,2,2,2	0.3,0.3,0.3,0.3,0.3	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	7,7,7,7,7	1,1,1,1,1	0.1,0.1,0.1,0.1,0.1	2,2,2,2,2
ENSMUSG00000000394	Gcg	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0.9,0.9,0.9,0.9,0.9
ENSMUSG00000000399	Ndufa9	172,172,172,172,172	465,465,465,465,465	363,363,363,363,363	141,141,141,141,141	75,75,75,75,75	211,211,211,211,211	100,100,100,100,100	128,128,128,128,128	204,204,204,204,204
ENSMUSG00000000402	Egfl6	3,3,3,3,3	0.1,0.1,0.1,0.1,0.1	11,11,11,11,11	0,0,0,0,0	106,106,106,106,106	6,6,6,6,6	1,1,1,1,1	0.7,0.7,0.7,0.7,0.7	0.2,0.2,0.2,0.2,0.2
ENSMUSG00000000409	Lck	2,2,2,2,2	0.3,0.3,0.3,0.3,0.3	2,2,2,2,2	0.7,0.7,0.7,0.7,0.7	17,17,17,17,17	3,3,3,3,3	286,286,286,286,286	2,2,2,2,2	2456,2456,2456,2456,2456
ENSMUSG00000000411	Tssk3	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	6,6,6,6,6	0.2,0.2,0.2,0.2,0.2	470,470,470,470,470	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000416	Cttnbp2	76,76,76,76,76	0.3,0.3,0.3,0.3,0.3	2,2,2,2,2	0.1,0.1,0.1,0.1,0.1	5,5,5,5,5	7,7,7,7,7	1,1,1,1,1	1,1,1,1,1	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000420	Galnt1	42,42,42,42,42	56,56,56,56,56	106,106,106,106,106	30,30,30,30,30	71,71,71,71,71	40,40,40,40,40	101,101,101,101,101	23,23,23,23,23	104,104,104,104,104
ENSMUSG00000000435	Myf5	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.9,0.9,0.9,0.9,0.9	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000000439	Mkrn2	17,17,17,17,17	13,13,13,13,13	6,6,6,6,6	4,4,4,4,4	10,10,10,10,10	11,11,11,11,11	9,9,9,9,9	36,36,36,36,36	18,18,18,18,18
ENSMUSG00000000440	Pparg	4,4,4,4,4	8,8,8,8,8	3,3,3,3,3	11,11,11,11,11	8,8,8,8,8	19,19,19,19,19	8,8,8,8,8	3,3,3,3,3	16,16,16,16,16
ENSMUSG00000000441	Raf1	32,32,32,32,32	27,27,27,27,27	23,23,23,23,23	22,22,22,22,22	26,26,26,26,26	15,15,15,15,15	24,24,24,24,24	15,15,15,15,15	36,36,36,36,36
ENSMUSG00000000486	Septin1	3,3,3,3,3	1,1,1,1,1	5,5,5,5,5	1,1,1,1,1	16,16,16,16,16	6,6,6,6,6	283,283,283,283,283	0.7,0.7,0.7,0.7,0.7	621,621,621,621,621
ENSMUSG00000000489	Pdgfb	25,25,25,25,25	29,29,29,29,29	13,13,13,13,13	0.8,0.8,0.8,0.8,0.8	132,132,132,132,132	37,37,37,37,37	17,17,17,17,17	2,2,2,2,2	9,9,9,9,9
ENSMUSG00000000530	Acvrl1	18,18,18,18,18	22,22,22,22,22	14,14,14,14,14	2,2,2,2,2	635,635,635,635,635	37,37,37,37,37	31,31,31,31,31	2,2,2,2,2	18,18,18,18,18
ENSMUSG00000000531	Tamalin	43,43,43,43,43	6,6,6,6,6	2,2,2,2,2	0.5,0.5,0.5,0.5,0.5	35,35,35,35,35	10,10,10,10,10	7,7,7,7,7	2,2,2,2,2	8,8,8,8,8
ENSMUSG00000000532	Acvr1b	125,125,125,125,125	13,13,13,13,13	15,15,15,15,15	7,7,7,7,7	57,57,57,57,57	59,59,59,59,59	33,33,33,33,33	14,14,14,14,14	28,28,28,28,28
ENSMUSG00000000538	Tom1l2	166,166,166,166,166	61,61,61,61,61	21,21,21,21,21	9,9,9,9,9	38,38,38,38,38	43,43,43,43,43	13,13,13,13,13	11,11,11,11,11	26,26,26,26,26
ENSMUSG00000000544	Gpa33	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0.4,0.4,0.4,0.4,0.4	3,3,3,3,3
ENSMUSG00000000552	Zfp385a	135,135,135,135,135	13,13,13,13,13	4,4,4,4,4	23,23,23,23,23	16,16,16,16,16	161,161,161,161,161	62,62,62,62,62	144,144,144,144,144	40,40,40,40,40
ENSMUSG00000000555	Itga5	6,6,6,6,6	40,40,40,40,40	5,5,5,5,5	24,24,24,24,24	50,50,50,50,50	22,22,22,22,22	13,13,13,13,13	0.9,0.9,0.9,0.9,0.9	20,20,20,20,20
ENSMUSG00000000560	Gabra2	33,33,33,33,33	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1
ENSMUSG00000000561	Wdr77	30,30,30,30,30	9,9,9,9,9	10,10,10,10,10	10,10,10,10,10	12,12,12,12,12	21,21,21,21,21	25,25,25,25,25	9,9,9,9,9	35,35,35,35,35
ENSMUSG00000000562	Adora3	0.4,0.4,0.4,0.4,0.4	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0.4,0.4,0.4,0.4,0.4	2,2,2,2,2	0.8,0.8,0.8,0.8,0.8	5,5,5,5,5	0.2,0.2,0.2,0.2,0.2
ENSMUSG00000000563	Atp5pb	157,157,157,157,157	407,407,407,407,407	496,496,496,496,496	156,156,156,156,156	77,77,77,77,77	209,209,209,209,209	128,128,128,128,128	56,56,56,56,56	255,255,255,255,255
ENSMUSG00000000567	Sox9	33,33,33,33,33	4,4,4,4,4	0.3,0.3,0.3,0.3,0.3	9,9,9,9,9	0.5,0.5,0.5,0.5,0.5	47,47,47,47,47	2,2,2,2,2	14,14,14,14,14	10,10,10,10,10
ENSMUSG00000000568	Hnrnpd	110,110,110,110,110	18,18,18,18,18	7,7,7,7,7	10,10,10,10,10	38,38,38,38,38	31,31,31,31,31	89,89,89,89,89	25,25,25,25,25	115,115,115,115,115
ENSMUSG00000000579	Dynlt1c	0.4,0.4,0.4,0.4,0.4	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	0.2,0.2,0.2,0.2,0.2	0.9,0.9,0.9,0.9,0.9	0.8,0.8,0.8,0.8,0.8	0.4,0.4,0.4,0.4,0.4
ENSMUSG00000000581	C1d	31,31,31,31,31	15,15,15,15,15	67,67,67,67,67	24,24,24,24,24	21,21,21,21,21	29,29,29,29,29	31,31,31,31,31	6,6,6,6,6	60,60,60,60,60
ENSMUSG00000000594	Gm2a	65,65,65,65,65	14,14,14,14,14	227,227,227,227,227	75,75,75,75,75	86,86,86,86,86	74,74,74,74,74	330,330,330,330,330	206,206,206,206,206	83,83,83,83,83
ENSMUSG00000000600	Krit1	18,18,18,18,18	5,5,5,5,5	4,4,4,4,4	2,2,2,2,2	7,7,7,7,7	3,3,3,3,3	10,10,10,10,10	5,5,5,5,5	12,12,12,12,12
ENSMUSG00000000605	Clcn4	105,105,105,105,105	34,34,34,34,34	40,40,40,40,40	25,25,25,25,25	37,37,37,37,37	29,29,29,29,29	33,33,33,33,33	14,14,14,14,14	39,39,39,39,39
ENSMUSG00000000606	Vmn2r88	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.5,0.5,0.5,0.5,0.5	0,0,0,0,0
ENSMUSG00000000617	Grm6	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	2,2,2,2,2	0.6,0.6,0.6,0.6,0.6	0.7,0.7,0.7,0.7,0.7
ENSMUSG00000000627	Sema4f	44,44,44,44,44	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	21,21,21,21,21	2,2,2,2,2	5,5,5,5,5	0.9,0.9,0.9,0.9,0.9	2,2,2,2,2
ENSMUSG00000000628	Hk2	6,6,6,6,6	195,195,195,195,195	0.2,0.2,0.2,0.2,0.2	0.5,0.5,0.5,0.5,0.5	9,9,9,9,9	75,75,75,75,75	11,11,11,11,11	18,18,18,18,18	8,8,8,8,8
ENSMUSG00000000631	Myo18a	66,66,66,66,66	47,47,47,47,47	11,11,11,11,11	22,22,22,22,22	39,39,39,39,39	44,44,44,44,44	31,31,31,31,31	7,7,7,7,7	46,46,46,46,46
ENSMUSG00000000632	Sez6	165,165,165,165,165	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	3,3,3,3,3	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000673	Haao	0.2,0.2,0.2,0.2,0.2	0.2,0.2,0.2,0.2,0.2	174,174,174,174,174	196,196,196,196,196	2,2,2,2,2	0.9,0.9,0.9,0.9,0.9	45,45,45,45,45	0.1,0.1,0.1,0.1,0.1	3,3,3,3,3
