GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8	g9
ENSMUSG00000064646	Gm23300	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064647	Gm23301	22,22,22,22,22	5,5,5,5,5	9,9,9,9,9	4,4,4,4,4	11,11,11,11,11	24,24,24,24,24	50,50,50,50,50	5,5,5,5,5	36,36,36,36,36
ENSMUSG00000064648	Gm23303	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.9,0.9,0.9,0.9,0.9	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064652	Gm24165	2,2,2,2,2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064653	Gm26129	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.8,0.8,0.8,0.8,0.8
ENSMUSG00000064655	Gm25788	0,0,0,0,0	2,2,2,2,2	0.6,0.6,0.6,0.6,0.6	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	5,5,5,5,5	0.9,0.9,0.9,0.9,0.9	5,5,5,5,5
ENSMUSG00000064658	Gm24166	9,9,9,9,9	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064659	Gm26131	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064663		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0
ENSMUSG00000064664	Gm24459	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064665	Gm24460	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064666	Snora52	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064669	Gm24461	6,6,6,6,6	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064670	Gm22808	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064671	Gm22807	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
